TIA,Albania,AIR BP-A/BP PRODUCTS NORTH AMERICA INC(BP OIL CO)/,1,4.3068,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Minimum Notice Required:Fuel Release - minimum 24 hours in advance 2) Operating Hours: OPS: 03:00 - 21:00 / Out of hours fuelling available - 24 Hours notice required 3) Ramps serviced:Can fuel on military apron 4) Additional Information: VAT applies for domestic flights For more information please contact your local fuel logistics team on fuel24@wfscorp.com,30-Jan-19
LOO,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.91649,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",1) Comments: Operating hours 0700am to 1900pm The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
MZW,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.16789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
MZW,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.06789,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
ORN,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.08689,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
ORN,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.98689,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",19% VAT applies on domestic flights. The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
QFD,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.06999,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
QFD,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.96999,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable for more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
QSF,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.94079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Minimum Notice Required: Must send request 72hours before fuel delivery as truck needs to be sent from Oran airport** If request is cancelled after fuel truck has already been sent, Additional charges will be given 6500USD subject to change** Quantity must also be precise and to check on a flight by flight basis** Fees and charges are subject to change without prior notice. Additional Comments: VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com",21-Jul-19
QSF,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.84079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Minimum Notice Required: Must send request 72hours before fuel delivery as truck needs to be sent from Oran airport** If request is cancelled after fuel truck has already been sent, Additional charges will be given 6500USD subject to change** Quantity must also be precise and to check on a flight by flight basis** Fees and charges are subject to change without prior notice. Additional Comments: VAT on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable For more information please contact your local fuel logistics team on fuel24@wfscorp.com",21-Jul-19
TEE,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.94079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
TEE,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.84079,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
TID,Algeria,NAFTAL-A/NAFTAL SPA/,1,2.99759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",VAT applies for domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
TID,Algeria,NAFTAL-A/NAFTAL SPA/,265,2.89759,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",VAT applies for domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable,21-Jul-19
TIN,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.25859,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
TIN,Algeria,NAFTAL-A/NAFTAL SPA/,265,3.15859,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: 72 HRS PRIOR NOTICE REQUIRED BY SUPPLIER. Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
TLM,Algeria,NAFTAL-A/NAFTAL SPA/,1,3.20579,"**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**",Additional Comments: Operating hours 0700am to 1900pm VAT applies on domestic flights The WFS invoice will state 'Third party charges' this relates to the VAT charged to WFS by our supplier. As WFS is not registered this cost is passed on and is non-refundable. For more information please contact your local fuel logistics team on fuel24@wfscorp.com,21-Jul-19
